goals_diff,assists_diff,key_passes_diff,pass_accuracy_diff,rating_diff,fixture_id,home_team,away_team,season,target
8,6,30,25.115384615384606,1.8342307692307696,1489369,16,1531,2026,1.0
0,0,9,2.330769230769228,0.12338461538461587,1538999,17,770,2026,1.0
4,0,37,-2.846153846153854,-0.11384615384615415,1539000,5529,1113,2026,
6,1,20,14.961538461538467,-0.20192307692307665,1489370,2384,2380,2026,1.0
-9,-5,-43,-15.615384615384613,-0.6526923076923081,1489373,1569,15,2026,
0,-1,8,1.2692307692307736,-0.12384615384615305,1489371,6,31,2026,
0,1,-1,-5.07692307692308,-0.49236923076923134,1489372,2386,1108,2026,0.0
-1,-1,-22,-6.615384615384613,-0.14038461538461533,1539001,20,777,2026,1.0
10,10,31,12.115384615384613,1.1242307692307696,1489374,25,5530,2026,1.0
2,3,9,-8.73076923076924,-0.46653846153846246,1489376,1118,12,2026,
3,2,-13,6.461538461538467,0.43192307692307796,1489375,1501,2382,2026,1.0
5,4,28,6.96153846153846,0.5326923076923071,1539002,5,28,2026,1.0
8,7,56,-1.1538461538461533,-0.591153846153845,1489380,9,1533,2026,
5,2,36,1.8846153846153868,0.6124,1489377,1,32,2026,
-2,-1,-30,3.6794871794871824,0.3902243589743586,1489379,23,7,2026,
-1,-2,1,2.3200000000000003,0.9248615384615384,1489378,22,4673,2026,
6,5,36,-4.346153846153854,-0.13769230769230933,1489383,2,13,2026,1.0
-11,-9,-35,-6.615384615384613,-0.6580769230769228,1539016,1567,1090,2026,0.0
13,8,37,10.961538461538453,1.0799999999999992,1489381,26,1532,2026,1.0
2,1,6,6.526923076923083,0.4832307692307687,1489382,775,1548,2026,1.0
2,1,8,12.846153846153847,0.23846153846153761,1539003,27,1508,2026,
8,6,41,14.653846153846153,0.6192307692307706,1489384,10,3,2026,1.0
2,1,-2,3.7646153846153894,0.45981538461538385,1489385,1504,11,2026,1.0
-3,-4,-60,-5.106153846153838,-0.26044615384615355,1489386,1568,8,2026,0.0
0,1,-9,7.038461538461533,0.497692307692307,1539004,770,1531,2026,
6,3,33,1.538461538461533,0.22807692307692307,1539005,15,1113,2026,1.0
7,2,47,11.230769230769226,0.3107692307692309,1489387,5529,1569,2026,1.0
8,5,30,15.746153846153845,1.2131538461538467,1489388,16,17,2026,1.0
7,3,13,10.65384615384616,-0.011153846153845848,1489391,2384,20,2026,1.0
-9,-9,-34,-13.461538461538453,-0.8249999999999984,1489390,1108,31,2026,0.0
9,7,43,19.807692307692307,1.1935230769230767,1489389,6,2386,2026,1.0
0,-1,29,10.92307692307692,-0.05038461538461547,1539006,777,2380,2026,0.0
3,4,0,2.615384615384613,0.43692307692307697,1539007,1118,5,2026,1.0
6,6,22,3.538461538461533,0.3100000000000005,1489393,25,1501,2026,1.0
1,2,22,2.115384615384613,0.3823076923076911,1489392,2382,5530,2026,
-6,-5,-19,-18.307692307692314,-1.4361538461538466,1489394,28,12,2026,0.0
11,9,82,12.205128205128204,0.19439102564102573,1489397,9,23,2026,1.0
10,9,65,16.564615384615387,0.8735999999999997,1489395,1,22,2026,
-1,-1,4,-17.03846153846154,-1.1757692307692293,1489398,7,1533,2026,
-4,-5,-30,-17.0,-1.186061538461538,1489396,4673,32,2026,0.0
13,7,54,18.34615384615384,1.4276923076923076,1489399,26,775,2026,1.0
15,13,76,-4.192307692307693,-0.191538461538463,1539017,2,1567,2026,1.0
2,1,-5,6.461538461538453,0.7119230769230764,1489401,1090,13,2026,1.0
-2,0,-23,-13.91153846153847,-0.8309230769230771,1489400,1548,1532,2026,0.0
5,3,27,14.644615384615385,0.5469846153846154,1489404,27,1568,2026,1.0
12,10,54,8.230769230769226,0.029615384615385487,1489402,10,1504,2026,
-6,-5,-11,2.6584615384615375,0.12980000000000125,1489403,11,3,2026,0.0
0,2,41,3.3076923076922995,-0.04807692307692424,1539008,8,1508,2026,1.0
2,3,-4,4.384615384615387,0.3419230769230772,1489408,15,5529,2026,1.0
3,2,10,14.07692307692308,0.42461538461538506,1539009,1113,1569,2026,1.0
9,8,35,18.538461538461533,1.3173692307692297,1489405,31,2386,2026,1.0
-9,-8,-42,-14.730769230769226,-0.7011538461538454,1489406,1108,6,2026,0.0
-8,-5,-39,-18.076923076923073,-1.3365384615384626,1539010,770,16,2026,0.0
0,-1,0,-9.36923076923076,-0.6210769230769229,1489407,1531,17,2026,1.0
-9,-8,-9,-10.0,-0.7419230769230785,1489410,2382,25,2026,1.0
-4,-4,-9,-8.57692307692308,-0.8142307692307691,1489409,5530,1501,2026,0.0
1,1,-9,11.346153846153854,0.9034615384615394,1539011,12,5,2026,
-8,-8,-28,-9.576923076923073,-0.9696153846153841,1489412,28,1118,2026,0.0
-6,-2,9,-4.038461538461547,0.15153846153846118,1539012,777,2384,2026,1.0
1,2,-7,-4.307692307692307,0.1907692307692308,1489411,2380,20,2026,
9,8,40,0.1538461538461604,-0.053846153846153655,1539074,13,1567,2026,1.0
-4,-4,-41,10.807692307692307,0.8496153846153858,1489416,1090,2,2026,0.0
-9,-8,-52,-15.884615384615387,-0.5846153846153843,1489417,7,9,2026,0.0
3,2,26,13.358974358974358,0.7855448717948708,1489413,1533,23,2026,
5,7,29,14.68,0.26119999999999965,1489414,32,22,2026,
-9,-7,-66,-18.884615384615387,-1.7984615384615381,1489415,4673,1,2026,0.0
4,4,13,-6.423076923076927,-0.5896153846153851,1489420,3,1504,2026,1.0
-14,-11,-52,-11.995384615384616,-0.48943076923076934,1489422,11,10,2026,0.0
-2,1,33,-9.538461538461547,-0.28653846153846185,1489419,8,27,2026,
3,2,19,1.7984615384615381,0.3085230769230778,1539013,1508,1568,2026,1.0
0,-1,17,7.384615384615387,0.3476923076923084,1489418,1532,775,2026,
-15,-8,-60,-24.873076923076923,-1.9109230769230763,1489421,1548,26,2026,0.0
-6,-2,-35,-8.8076923076923,-0.9123076923076923,1561329,1531,5529,2026,0.0
2,1,33,-4.461538461538467,-0.4380769230769239,1562344,6,12,2026,1.0
8,7,30,18.038461538461533,0.27653846153846207,1565176,25,2380,2026,
0,1,-16,-3.0,-0.1523076923076916,1562345,1118,31,2026,
-7,-6,-18,-7.84615384615384,-0.5911538461538459,1564789,1501,1090,2026,0.0
9,8,52,1.1153846153846132,0.19846153846153758,1565177,2,5,2026,1.0
8,5,12,16.807692307692307,1.2296153846153857,1567306,16,2382,2026,1.0
9,8,39,10.076923076923073,0.14730769230769258,1567307,10,1508,2026,1.0
3,1,31,-1.5,0.35730769230769166,1567308,1,13,2026,1.0
5,1,19,3.57692307692308,-0.15807692307692278,1562586,2384,1113,2026,1.0
7,5,67,0.4615384615384599,-0.1119230769230759,1567311,9,775,2026,1.0
1,-1,10,17.423076923076927,0.7103846153846156,1567309,27,3,2026,1.0
5,3,20,-1.0384615384615472,0.7142307692307694,1567312,15,1532,2026,1.0
-6,-7,-19,-8.192307692307693,0.21855384615384654,1565178,20,32,2026,
14,9,43,16.730769230769226,0.9484615384615385,1565179,26,1533,2026,1.0
3,4,56,1.4615384615384528,-0.16576923076923133,1567310,8,1504,2026,1.0
-2,-6,7,-7.5,-0.2565384615384607,1567824,5529,31,2026,0.0
-13,-11,-67,-11.538461538461533,0.2919230769230783,1569870,2380,2,2026,0.0
-2,-2,13,-5.038461538461533,-0.5826923076923078,1568100,6,1090,2026,0.0
-4,-4,-13,9.230769230769226,1.1269230769230765,1570714,16,10,2026,0.0
-5,-5,-49,11.346153846153847,0.7180769230769224,1576756,27,9,2026,0.0
-4,-6,-42,0.5769230769230802,-0.40499999999999936,1570715,2384,1,2026,0.0
10,3,25,12.42307692307692,0.9593230769230763,1576804,26,32,2026,1.0
5,1,-14,4.07692307692308,0.7423076923076932,1576805,15,8,2026,
6,5,36,-4.5,-0.390769230769231,1578539,2,31,2026,1.0
-1,-1,2,-7.346153846153847,-1.1926923076923073,1581821,9,1,2026,1.0
-2,-1,-20,6.730769230769226,0.9203846153846147,1581037,1090,10,2026,0.0
8,5,17,12.0,0.36576923076922974,1582681,26,15,2026,1.0
4,5,3,4.499999999999993,0.6976923076923063,1585131,2,9,2026,0.0
-4,0,-5,-9.307692307692307,-0.9126923076923061,1586077,10,26,2026,0.0
